user_id,spotify_name,artist_name
128,kyrie halo,kyrie halo
129,bad monkey,bad monkey
145,manfrop,manfrop
149,zakaria,zakaria
154,léo bonacci,léo bonacci
157,helsow,helsow
166,devon overbey,devon overbey
170,joey paradis,joey paradis
180,reignite,reignite
187,cigana,cigana
188,alex moster,alex moster
190,chrome,chrome
191,vehika,vehika
196,irène schrader,irène schrader
207,we are ava,we are ava
209,heckyl,heckyl
212,mikanello,mikanello
214,mav,mav
214,mav,mav
215,taiti-d,taiti-d
220,charly sester,charly sester
222,raphael reed,raphael reed
225,19s,19s
229,san mitch,san mitch
232,la r3zi,la r3zi
243,théo-f,théo-f
244,smartphone,smartphone
247,millo,millo
256,tomskye,tomskye
258,mctoad,mctoad
259,bethany sin,bethany sin
261,chromatic noise,chromatic noise
263,bahia miramar,bahia miramar
269,emelie creutz,emelie creutz
278,andrea vona,andrea vona
282,hotel paradisio,hotel paradisio
284,candybronx,candybronx
288,pagliarini,pagliarini
297,wolfgang,wolfgang
313,leon lowman,leon lowman
314,jeff rockker,jeff rockker
319,mike sawyer,mike sawyer
339,elkeen,elkeen
340,gorila gang,gorila gang
342,aysith,aysith
343,repentore,repentore
349,lazartom,lazartom
350,tiasma,tiasma
352,ara de la luna,ara de la luna
354,dolphan,dolphan
360,karobela,karobela
362,le spleen,le spleen
363,kouya,kouya
364,foxel,foxel
366,sal angel,sal angel
370,shaun riley,shaun riley
373,made apollo,made apollo
378,luan black,luan black
387,separable,separable
394,lerynx,lerynx
396,don krookshank,don krookshank
399,unomas,unomas
403,aim world,aim world
408,diwayne,diwayne
409,fuzeta,fuzeta
416,pleito,pleito
418,caro,caro
422,priceless scott,priceless scott
424,so?mash!,so?mash!
433,samhain,samhain
437,cail,cail
445,jimbo bdl,jimbo bdl
446,jamz,jamz
449,tei'o,tei'o
451,krilino,krilino
455,islan e alberto,islan e alberto
458,mark england,mark england
462,loved son,loved son
463,jason green,jason green
464,mystific,mystific
465,beyond charlie,beyond charlie
466,nakeeta,nakeeta
473,nell,nell
474,kalibre,kalibre
477,plan 2 scape,plan 2 scape
481,azure wolf,azure wolf
482,gust,gust
483,when waves collide,when waves collide
491,philippe jaricot,philippe jaricot
494,pual saint,pual saint
496,houdini sna,houdini sna
499,jodivega,jodivega
501,rayan carlo,rayan carlo
504,alba,alba
510,sg solo,sg solo
511,giovanna mottini,giovanna mottini
512,skyswimming,skyswimming
516,peter is shy,peter is shy
517,rixko,rixko
520,alex forte,alex forte
533,michael stanley,michael stanley
536,estranhos românticos,estranhos românticos
538,nathan murari,nathan murari
540,don fuego,don fuego
541,carlotta ciampa,carlotta ciampa
543,harun rune,harun rune
560,lukka gust,lukka gust
563,e-riser,e-riser
564,victoria delarozière,victoria delarozière
575,kd da shooter,kd da shooter
585,househead samira,househead samira
589,physio,physio
590,max & kata,max & kata
597,zaddy,zaddy
606,michael ekow,michael ekow
607,selka,selka
611,övünç,övünç
612,shaka,shaka
628,herr kaschke,herr kaschke
633,ashton forever,ashton forever
639,palmo,palmo
640,dave blaxk,dave blaxk
642,vanessa philippe,vanessa philippe
643,lethvl optiks,lethvl optiks
651,pihpoh,pihpoh
662,adam wilson,adam wilson
664,fuego,fuego
666,gil,gil
671,skydxddy,skydxddy
674,invadable harmony,invadable harmony
676,tyler cohen,tyler cohen
682,køleen,køleen
686,kanah athy,kanah athy
687,the perps,the perps
696,nadjee,nadjee
702,hitch el,hitch el
704,pass'moi le celte,pass'moi le celte
713,stiven galvez,stiven galvez
717,hook,hook
718,kâha,kâha
722,outsider,outsider
723,cheb angelo,cheb angelo
724,bulletproof messenger,bulletproof messenger
727,artnow,artnow
728,tommy positivity,tommy positivity
729,torungo,torungo
735,leon tomic,leon tomic
736,david diem,david diem
738,duzca,duzca
739,tiago fraga,tiago fraga
740,bernard garcia,bernard garcia
748,oliver bach,oliver bach
751,mamguá,mamguá
762,malbix,malbix
766,dffrnt,dffrnt
769,deathskor,deathskor
770,sacha ryan,sacha ryan
771,nick cold,nick cold
774,alievski,alievski
775,thomas geelens,thomas geelens
781,fin,fin
782,yung kat,yung kat
783,taoufik3,taoufik3
787,villanamous rex,villanamous rex
788,sonnenblumen of death,sonnenblumen of death
802,nvnx,nvnx
803,skaar,skaar
805,velkaz,velkaz
808,hello chewy,hello chewy
811,winchester revival,winchester revival
813,l.ovathelord,l.ovathelord
816,wendy lucas,wendy lucas
9,zoid,zoid
12,seytak,seytak
14,kardes,kardes
16,daryl,daryl
23,gem shadou,gem shadou
27,travi the native,travi the native
31,rickoss,rickoss
33,molone,molone
34,u.v.p,u.v.p
40,hítalo,hítalo
44,gabfreakypie,gabfreakypie
61,marius le gallic,marius le gallic
65,cherif,cherif
67,kairos covers,kairos covers
72,timmy o'brien,timmy o'brien
85,zai pereira,zai pereira
88,raffaele grimaldi,raffaele grimaldi
94,kristal werner,kristal werner
95,kiara wl,kiara wl
101,ali and the clouds,ali and the clouds
103,quase-ilha,quase-ilha
106,blue rose,blue rose
111,anna yarbrough,anna yarbrough
113,damys,damys
119,feur,feur
120,dvle,dvle
125,guidestones,guidestones
126,andjoy,andjoy
128,kyrie halo,kyrie halo
129,bad monkey,bad monkey
145,manfrop,manfrop
149,zakaria,zakaria
154,léo bonacci,léo bonacci
157,helsow,helsow
166,devon overbey,devon overbey
170,joey paradis,joey paradis
180,reignite,reignite
187,cigana,cigana
188,alex moster,alex moster
190,chrome,chrome
191,vehika,vehika
196,irène schrader,irène schrader
207,we are ava,we are ava
209,heckyl,heckyl
212,mikanello,mikanello
214,mav,mav
214,mav,mav
215,taiti-d,taiti-d
220,charly sester,charly sester
222,raphael reed,raphael reed
225,19s,19s
229,san mitch,san mitch
232,la r3zi,la r3zi
243,théo-f,théo-f
244,smartphone,smartphone
247,millo,millo
256,tomskye,tomskye
258,mctoad,mctoad
259,bethany sin,bethany sin
261,chromatic noise,chromatic noise
263,bahia miramar,bahia miramar
269,emelie creutz,emelie creutz
278,andrea vona,andrea vona
282,hotel paradisio,hotel paradisio
284,candybronx,candybronx
288,pagliarini,pagliarini
297,wolfgang,wolfgang
313,leon lowman,leon lowman
314,jeff rockker,jeff rockker
319,mike sawyer,mike sawyer
339,elkeen,elkeen
340,gorila gang,gorila gang
342,aysith,aysith
343,repentore,repentore
349,lazartom,lazartom
350,tiasma,tiasma
352,ara de la luna,ara de la luna
354,dolphan,dolphan
360,karobela,karobela
362,le spleen,le spleen
363,kouya,kouya
364,foxel,foxel
366,sal angel,sal angel
370,shaun riley,shaun riley
373,made apollo,made apollo
378,luan black,luan black
387,separable,separable
394,lerynx,lerynx
396,don krookshank,don krookshank
399,unomas,unomas
403,aim world,aim world
408,diwayne,diwayne
409,fuzeta,fuzeta
416,pleito,pleito
418,caro,caro
422,priceless scott,priceless scott
424,so?mash!,so?mash!
433,samhain,samhain
437,cail,cail
445,jimbo bdl,jimbo bdl
446,jamz,jamz
449,tei'o,tei'o
451,krilino,krilino
455,islan e alberto,islan e alberto
458,mark england,mark england
462,loved son,loved son
463,jason green,jason green
464,mystific,mystific
465,beyond charlie,beyond charlie
466,nakeeta,nakeeta
473,nell,nell
474,kalibre,kalibre
477,plan 2 scape,plan 2 scape
481,azure wolf,azure wolf
482,gust,gust
483,when waves collide,when waves collide
491,philippe jaricot,philippe jaricot
494,pual saint,pual saint
496,houdini sna,houdini sna
499,jodivega,jodivega
501,rayan carlo,rayan carlo
504,alba,alba
510,sg solo,sg solo
511,giovanna mottini,giovanna mottini
512,skyswimming,skyswimming
516,peter is shy,peter is shy
517,rixko,rixko
520,alex forte,alex forte
533,michael stanley,michael stanley
536,estranhos românticos,estranhos românticos
538,nathan murari,nathan murari
540,don fuego,don fuego
541,carlotta ciampa,carlotta ciampa
543,harun rune,harun rune
560,lukka gust,lukka gust
563,e-riser,e-riser
564,victoria delarozière,victoria delarozière
575,kd da shooter,kd da shooter
585,househead samira,househead samira
589,physio,physio
590,max & kata,max & kata
597,zaddy,zaddy
606,michael ekow,michael ekow
607,selka,selka
611,övünç,övünç
612,shaka,shaka
628,herr kaschke,herr kaschke
633,ashton forever,ashton forever
639,palmo,palmo
640,dave blaxk,dave blaxk
642,vanessa philippe,vanessa philippe
643,lethvl optiks,lethvl optiks
651,pihpoh,pihpoh
662,adam wilson,adam wilson
664,fuego,fuego
666,gil,gil
671,skydxddy,skydxddy
674,invadable harmony,invadable harmony
676,tyler cohen,tyler cohen
682,køleen,køleen
686,kanah athy,kanah athy
687,the perps,the perps
696,nadjee,nadjee
702,hitch el,hitch el
704,pass'moi le celte,pass'moi le celte
713,stiven galvez,stiven galvez
717,hook,hook
718,kâha,kâha
722,outsider,outsider
723,cheb angelo,cheb angelo
724,bulletproof messenger,bulletproof messenger
727,artnow,artnow
728,tommy positivity,tommy positivity
729,torungo,torungo
735,leon tomic,leon tomic
736,david diem,david diem
738,duzca,duzca
739,tiago fraga,tiago fraga
740,bernard garcia,bernard garcia
748,oliver bach,oliver bach
751,mamguá,mamguá
762,malbix,malbix
766,dffrnt,dffrnt
769,deathskor,deathskor
770,sacha ryan,sacha ryan
771,nick cold,nick cold
774,alievski,alievski
775,thomas geelens,thomas geelens
781,fin,fin
782,yung kat,yung kat
783,taoufik3,taoufik3
787,villanamous rex,villanamous rex
788,sonnenblumen of death,sonnenblumen of death
802,nvnx,nvnx
803,skaar,skaar
805,velkaz,velkaz
808,hello chewy,hello chewy
811,winchester revival,winchester revival
813,l.ovathelord,l.ovathelord
816,wendy lucas,wendy lucas
9,zoid,zoid
12,seytak,seytak
14,kardes,kardes
16,daryl,daryl
23,gem shadou,gem shadou
27,travi the native,travi the native
31,rickoss,rickoss
33,molone,molone
34,u.v.p,u.v.p
40,hítalo,hítalo
44,gabfreakypie,gabfreakypie
61,marius le gallic,marius le gallic
65,cherif,cherif
67,kairos covers,kairos covers
72,timmy o'brien,timmy o'brien
85,zai pereira,zai pereira
88,raffaele grimaldi,raffaele grimaldi
94,kristal werner,kristal werner
95,kiara wl,kiara wl
101,ali and the clouds,ali and the clouds
103,quase-ilha,quase-ilha
106,blue rose,blue rose
111,anna yarbrough,anna yarbrough
113,damys,damys
119,feur,feur
120,dvle,dvle
125,guidestones,guidestones
126,andjoy,andjoy
128,kyrie halo,kyrie halo
129,bad monkey,bad monkey
145,manfrop,manfrop
149,zakaria,zakaria
154,léo bonacci,léo bonacci
157,helsow,helsow
166,devon overbey,devon overbey
170,joey paradis,joey paradis
180,reignite,reignite
187,cigana,cigana
188,alex moster,alex moster
190,chrome,chrome
191,vehika,vehika
196,irène schrader,irène schrader
207,we are ava,we are ava
209,heckyl,heckyl
212,mikanello,mikanello
214,mav,mav
214,mav,mav
215,taiti-d,taiti-d
220,charly sester,charly sester
222,raphael reed,raphael reed
225,19s,19s
229,san mitch,san mitch
232,la r3zi,la r3zi
243,théo-f,théo-f
244,smartphone,smartphone
247,millo,millo
256,tomskye,tomskye
258,mctoad,mctoad
259,bethany sin,bethany sin
261,chromatic noise,chromatic noise
263,bahia miramar,bahia miramar
269,emelie creutz,emelie creutz
278,andrea vona,andrea vona
282,hotel paradisio,hotel paradisio
284,candybronx,candybronx
288,pagliarini,pagliarini
297,wolfgang,wolfgang
313,leon lowman,leon lowman
314,jeff rockker,jeff rockker
319,mike sawyer,mike sawyer
339,elkeen,elkeen
340,gorila gang,gorila gang
342,aysith,aysith
343,repentore,repentore
349,lazartom,lazartom
350,tiasma,tiasma
352,ara de la luna,ara de la luna
354,dolphan,dolphan
360,karobela,karobela
362,le spleen,le spleen
363,kouya,kouya
364,foxel,foxel
366,sal angel,sal angel
370,shaun riley,shaun riley
373,made apollo,made apollo
378,luan black,luan black
387,separable,separable
394,lerynx,lerynx
396,don krookshank,don krookshank
399,unomas,unomas
403,aim world,aim world
408,diwayne,diwayne
409,fuzeta,fuzeta
416,pleito,pleito
418,caro,caro
422,priceless scott,priceless scott
424,so?mash!,so?mash!
433,samhain,samhain
437,cail,cail
445,jimbo bdl,jimbo bdl
446,jamz,jamz
449,tei'o,tei'o
451,krilino,krilino
455,islan e alberto,islan e alberto
458,mark england,mark england
462,loved son,loved son
463,jason green,jason green
464,mystific,mystific
465,beyond charlie,beyond charlie
466,nakeeta,nakeeta
473,nell,nell
474,kalibre,kalibre
477,plan 2 scape,plan 2 scape
481,azure wolf,azure wolf
482,gust,gust
483,when waves collide,when waves collide
491,philippe jaricot,philippe jaricot
494,pual saint,pual saint
496,houdini sna,houdini sna
499,jodivega,jodivega
501,rayan carlo,rayan carlo
504,alba,alba
510,sg solo,sg solo
511,giovanna mottini,giovanna mottini
512,skyswimming,skyswimming
516,peter is shy,peter is shy
517,rixko,rixko
520,alex forte,alex forte
533,michael stanley,michael stanley
536,estranhos românticos,estranhos românticos
538,nathan murari,nathan murari
540,don fuego,don fuego
541,carlotta ciampa,carlotta ciampa
543,harun rune,harun rune
560,lukka gust,lukka gust
563,e-riser,e-riser
564,victoria delarozière,victoria delarozière
575,kd da shooter,kd da shooter
585,househead samira,househead samira
589,physio,physio
590,max & kata,max & kata
597,zaddy,zaddy
606,michael ekow,michael ekow
607,selka,selka
611,övünç,övünç
612,shaka,shaka
628,herr kaschke,herr kaschke
633,ashton forever,ashton forever
639,palmo,palmo
640,dave blaxk,dave blaxk
642,vanessa philippe,vanessa philippe
643,lethvl optiks,lethvl optiks
651,pihpoh,pihpoh
662,adam wilson,adam wilson
664,fuego,fuego
666,gil,gil
671,skydxddy,skydxddy
674,invadable harmony,invadable harmony
676,tyler cohen,tyler cohen
682,køleen,køleen
686,kanah athy,kanah athy
687,the perps,the perps
696,nadjee,nadjee
702,hitch el,hitch el
704,pass'moi le celte,pass'moi le celte
713,stiven galvez,stiven galvez
717,hook,hook
718,kâha,kâha
722,outsider,outsider
723,cheb angelo,cheb angelo
724,bulletproof messenger,bulletproof messenger
727,artnow,artnow
728,tommy positivity,tommy positivity
729,torungo,torungo
735,leon tomic,leon tomic
736,david diem,david diem
738,duzca,duzca
739,tiago fraga,tiago fraga
740,bernard garcia,bernard garcia
748,oliver bach,oliver bach
751,mamguá,mamguá
762,malbix,malbix
766,dffrnt,dffrnt
769,deathskor,deathskor
770,sacha ryan,sacha ryan
771,nick cold,nick cold
774,alievski,alievski
775,thomas geelens,thomas geelens
781,fin,fin
782,yung kat,yung kat
783,taoufik3,taoufik3
787,villanamous rex,villanamous rex
788,sonnenblumen of death,sonnenblumen of death
802,nvnx,nvnx
803,skaar,skaar
805,velkaz,velkaz
808,hello chewy,hello chewy
811,winchester revival,winchester revival
813,l.ovathelord,l.ovathelord
816,wendy lucas,wendy lucas
9,zoid,zoid
12,seytak,seytak
14,kardes,kardes
16,daryl,daryl
23,gem shadou,gem shadou
27,travi the native,travi the native
31,rickoss,rickoss
33,molone,molone
34,u.v.p,u.v.p
40,hítalo,hítalo
44,gabfreakypie,gabfreakypie
61,marius le gallic,marius le gallic
65,cherif,cherif
67,kairos covers,kairos covers
72,timmy o'brien,timmy o'brien
85,zai pereira,zai pereira
88,raffaele grimaldi,raffaele grimaldi
94,kristal werner,kristal werner
95,kiara wl,kiara wl
101,ali and the clouds,ali and the clouds
103,quase-ilha,quase-ilha
106,blue rose,blue rose
111,anna yarbrough,anna yarbrough
113,damys,damys
119,feur,feur
120,dvle,dvle
125,guidestones,guidestones
126,andjoy,andjoy
128,kyrie halo,kyrie halo
129,bad monkey,bad monkey
145,manfrop,manfrop
149,zakaria,zakaria
154,léo bonacci,léo bonacci
157,helsow,helsow
166,devon overbey,devon overbey
170,joey paradis,joey paradis
180,reignite,reignite
187,cigana,cigana
188,alex moster,alex moster
190,chrome,chrome
191,vehika,vehika
196,irène schrader,irène schrader
207,we are ava,we are ava
209,heckyl,heckyl
212,mikanello,mikanello
214,mav,mav
214,mav,mav
215,taiti-d,taiti-d
220,charly sester,charly sester
222,raphael reed,raphael reed
225,19s,19s
229,san mitch,san mitch
232,la r3zi,la r3zi
243,théo-f,théo-f
244,smartphone,smartphone
247,millo,millo
256,tomskye,tomskye
258,mctoad,mctoad
259,bethany sin,bethany sin
261,chromatic noise,chromatic noise
263,bahia miramar,bahia miramar
269,emelie creutz,emelie creutz
278,andrea vona,andrea vona
282,hotel paradisio,hotel paradisio
284,candybronx,candybronx
288,pagliarini,pagliarini
297,wolfgang,wolfgang
313,leon lowman,leon lowman
314,jeff rockker,jeff rockker
319,mike sawyer,mike sawyer
339,elkeen,elkeen
340,gorila gang,gorila gang
342,aysith,aysith
343,repentore,repentore
349,lazartom,lazartom
350,tiasma,tiasma
352,ara de la luna,ara de la luna
354,dolphan,dolphan
360,karobela,karobela
362,le spleen,le spleen
363,kouya,kouya
364,foxel,foxel
366,sal angel,sal angel
370,shaun riley,shaun riley
373,made apollo,made apollo
378,luan black,luan black
387,separable,separable
394,lerynx,lerynx
396,don krookshank,don krookshank
399,unomas,unomas
403,aim world,aim world
408,diwayne,diwayne
409,fuzeta,fuzeta
416,pleito,pleito
418,caro,caro
422,priceless scott,priceless scott
424,so?mash!,so?mash!
433,samhain,samhain
437,cail,cail
445,jimbo bdl,jimbo bdl
446,jamz,jamz
449,tei'o,tei'o
451,krilino,krilino
455,islan e alberto,islan e alberto
458,mark england,mark england
462,loved son,loved son
463,jason green,jason green
464,mystific,mystific
465,beyond charlie,beyond charlie
466,nakeeta,nakeeta
473,nell,nell
474,kalibre,kalibre
477,plan 2 scape,plan 2 scape
481,azure wolf,azure wolf
482,gust,gust
483,when waves collide,when waves collide
491,philippe jaricot,philippe jaricot
494,pual saint,pual saint
496,houdini sna,houdini sna
499,jodivega,jodivega
501,rayan carlo,rayan carlo
504,alba,alba
510,sg solo,sg solo
511,giovanna mottini,giovanna mottini
512,skyswimming,skyswimming
516,peter is shy,peter is shy
517,rixko,rixko
520,alex forte,alex forte
533,michael stanley,michael stanley
536,estranhos românticos,estranhos românticos
538,nathan murari,nathan murari
540,don fuego,don fuego
541,carlotta ciampa,carlotta ciampa
543,harun rune,harun rune
560,lukka gust,lukka gust
563,e-riser,e-riser
564,victoria delarozière,victoria delarozière
575,kd da shooter,kd da shooter
585,househead samira,househead samira
589,physio,physio
590,max & kata,max & kata
597,zaddy,zaddy
606,michael ekow,michael ekow
607,selka,selka
611,övünç,övünç
612,shaka,shaka
628,herr kaschke,herr kaschke
633,ashton forever,ashton forever
639,palmo,palmo
640,dave blaxk,dave blaxk
642,vanessa philippe,vanessa philippe
643,lethvl optiks,lethvl optiks
651,pihpoh,pihpoh
662,adam wilson,adam wilson
664,fuego,fuego
666,gil,gil
671,skydxddy,skydxddy
674,invadable harmony,invadable harmony
676,tyler cohen,tyler cohen
682,køleen,køleen
686,kanah athy,kanah athy
687,the perps,the perps
696,nadjee,nadjee
702,hitch el,hitch el
704,pass'moi le celte,pass'moi le celte
713,stiven galvez,stiven galvez
717,hook,hook
718,kâha,kâha
722,outsider,outsider
723,cheb angelo,cheb angelo
724,bulletproof messenger,bulletproof messenger
727,artnow,artnow
728,tommy positivity,tommy positivity
729,torungo,torungo
735,leon tomic,leon tomic
736,david diem,david diem
738,duzca,duzca
739,tiago fraga,tiago fraga
740,bernard garcia,bernard garcia
748,oliver bach,oliver bach
751,mamguá,mamguá
762,malbix,malbix
766,dffrnt,dffrnt
769,deathskor,deathskor
770,sacha ryan,sacha ryan
771,nick cold,nick cold
774,alievski,alievski
775,thomas geelens,thomas geelens
781,fin,fin
782,yung kat,yung kat
783,taoufik3,taoufik3
787,villanamous rex,villanamous rex
788,sonnenblumen of death,sonnenblumen of death
802,nvnx,nvnx
803,skaar,skaar
805,velkaz,velkaz
808,hello chewy,hello chewy
811,winchester revival,winchester revival
813,l.ovathelord,l.ovathelord
816,wendy lucas,wendy lucas
826,gabriel malta,gabriel malta
832,akenox,akenox
833,n3lsn,n3lsn
837,underlined passages,underlined passages
838,delord,delord
842,social tedio,social tedio
843,bast,bast
843,bast,bast
844,gabi ribeiro,gabi ribeiro
853,nikkaum,nikkaum
854,raptyle,raptyle
856,émilie,émilie
861,arthus fochi,arthus fochi
867,stk,stk
875,true gospel bookstore,true gospel bookstore
876,hi2l,hi2l
879,brenden,brenden
884,vi$ion,vi$ion
886,pepo & yanouchka,pepo & yanouchka
887,lil idli,lil idli
890,henry blaeser,henry blaeser
891,reflection asylum,reflection asylum
894,lasse macbeth,lasse macbeth
908,xzssar,xzssar
918,road kahan,road kahan
920,mr e.rockkstar expose,mr e.rockkstar expose
921,james bakian,james bakian
922,gui fleming,gui fleming
924,pitaya kush,pitaya kush
925,jok'os,jok'os
927,st ghislain,st ghislain
928,dario della noce,dario della noce
930,waysto,waysto
931,sorrene,sorrene
932,luna blue,luna blue
938,martina gouët & the comadres,martina gouët & the comadres
940,dani terreur,dani terreur
945,valter valerio,valter valerio
947,i.lyel,i.lyel
958,booster fawn,booster fawn
975,joseph ferrante,joseph ferrante
977,gökay ekin,gökay ekin
985,taffeite,taffeite
993,the dark atom,the dark atom
1000,fabiano.j,fabiano.j
1010,leïla lanova,leïla lanova
1025,prodjaber,prodjaber
1027,projeto primata,projeto primata
1032,volts,volts
1034,sacra-man,sacra-man
1039,collectif métissé,collectif métissé
1056,leeflux,leeflux
1064,the liquor store,the liquor store
1070,ilario ferrari trio,ilario ferrari trio
1072,lumen craft,lumen craft
1080,sonarise,sonarise
1081,betamax dub machine,betamax dub machine
1092,dave,dave
1101,6yp,6yp
1109,raqoons,raqoons
1120,jerrod azaad,jerrod azaad
1132,fmp,fmp
1136,freedom,freedom
1137,arkham city gang,arkham city gang
1138,fungi u.h.n.,fungi u.h.n.
1141,tsm,tsm
1143,tweezy da kidd,tweezy da kidd
1162,adamo,adamo
1163,wils castel,wils castel
1164,kevin follet,kevin follet
1169,culturevibes,culturevibes
1184,la famax,la famax
1199,liqid,liqid
1203,victoria sio,victoria sio
1206,leezy,leezy
1207,the pink crows,the pink crows
1212,empreinte,empreinte
1221,ketut,ketut
1230,jeoffrey dandy,jeoffrey dandy
